DATE,STATE,EAR COUNT - PER ACRE
2018,ILLINOIS,"31,500"
2018,INDIANA,"29,750"
2018,IOWA,"30,800"
2018,KANSAS,"21,700"
2018,MINNESOTA,"30,800"
2018,MISSOURI,"27,300"
2018,NEBRASKA,"26,800"
2018,OHIO,"30,300"
2018,SOUTH DAKOTA,"28,050"
2018,WISCONSIN,"30,450"
2017,ILLINOIS,"30,250"
2017,INDIANA,"28,850"
2017,IOWA,"30,600"
2017,KANSAS,"22,650"
2017,MINNESOTA,"30,600"
2017,MISSOURI,"27,850"
2017,NEBRASKA,"25,950"
2017,OHIO,"29,150"
2017,SOUTH DAKOTA,"25,850"
2017,WISCONSIN,"28,550"
2016,ILLINOIS,"30,450"
2016,INDIANA,"29,250"
2016,IOWA,"30,500"
2016,KANSAS,"22,450"
2016,MINNESOTA,"30,250"
2016,MISSOURI,"27,150"
2016,NEBRASKA,"25,400"
2016,OHIO,"29,600"
2016,SOUTH DAKOTA,"25,450"
2016,WISCONSIN,"28,750"
